text,rating,date,pred_label,p_positive,p_negative
"верните пожалуйста деньги
я хочу сделать возврат. звук не такой четкий и нет басов",1,2025-08-16,negative,0.001049780985340476,0.9675054550170898
"рекомендую, хороший товар за свою цену",5,2025-08-16,positive,0.9949527978897095,0.0017804205417633057
Спасибо за хорошую работу поддержки,5,2025-08-16,positive,0.9884923696517944,0.002476384397596121
"Отличные наушники, переключение, пауза, когда звонят, сири спрашивает ответить ли на звонок. Очень понравились",5,2025-08-16,positive,0.9961466789245605,0.0021885817404836416
Наушники как наушники. Не заряжаются(,1,2025-08-16,neutral,0.022315284237265587,0.10325604677200317
"Хорошие наушники, звук отличный. Упаковано хорошо",5,2025-08-16,positive,0.9966853260993958,0.0016771084628999233
Звук хороший,5,2025-08-16,positive,0.9875675439834595,0.001335482462309301
"Недавно купила наушники и очень довольна! Звук просто потрясающий — чистые высокие частоты, насыщенные басы и отличная детализация. По сравнению с предыдущими поколениями, разница ощутима: звук стал более объёмным. Наушники идеально сидят в ушах, не выпадают даже при активном движении.",5,2025-08-16,positive,0.9973874688148499,0.0012218253687024117
"Ужасные, лучше не брать",1,2025-08-16,negative,0.002449594670906663,0.7510707378387451
"Все работает четко, нет никаких проблем",5,2025-08-15,positive,0.989934504032135,0.0012529914965853095
"Забыла написать ранее еще об одном плюсе наушников - шумоподавление. При работе наушников люди не слышат мои песни , это очень радует! Спасибо",5,2025-08-15,positive,0.8239573836326599,0.028025289997458458
"Не берите. Ужасные ,сами отключаются и звук 🤦‍♀️",1,2025-08-15,negative,0.0012610568664968014,0.9918035268783569
Хорошие наушники!,5,2025-08-15,positive,0.9959644079208374,0.0016436195001006126
"Очень хороший качествый тавар , советую продавца , полный комопект , осталься довел 🔥🔥🔥🔥",5,2025-08-15,positive,0.9671051502227783,0.007994657382369041
очень хорошие,5,2025-08-15,positive,0.992887556552887,0.0024137417785823345
"Работают супер, довольна покупкой",5,2025-08-15,positive,0.9965609908103943,0.0017028267029672861
"Итог:
Я в полном восторге! Наушники — супер, а подарок в виде чехла стал приятным и полезным дополнением. Теперь мои
AirPods выглядят ещё круче и надёжно защищены.. Наушники:
Звук просто шикарный - чистый, объёмный, с глубокими басами. Очень понравилось активное шумоподавление и режим прозрачности: могу либо полностью уйти в музыку, либо слышать всё вокруг. Подключаются к телефону моментально, управление удобное и понятное. Сидят в ушах идеально, можно носить часами без дискомфорта.
Чехол (подарок):
Очень приятный бонус! Матовый, приятный на ощупь, стильно смотрится.
Плотно сидит на кейсе, не мешает открывать крышку и заряжать наушники.
Хорошо защищает от царапин и падений, а чёрный цвет универсален и не маркий.
Да, силикон немного притягивает пыль, но это мелочь.. Все хорошо",5,2025-08-15,positive,0.9975411891937256,0.0011597912525758147
все отлично,5,2025-08-15,positive,0.9959200620651245,0.0020817129407078028
Качественная звук,5,2025-08-15,positive,0.9938862919807434,0.0014146496541798115
"Не советую. Достаточно хороший звук. Очень больно носить + при включении двух, работает только один, поочередно",2,2025-08-15,negative,0.0013447755482047796,0.8408151268959045
Подключаются без проблем. Шумоподавления не работает за такую стоимость по моему не критично,5,2025-08-15,neutral,0.040575042366981506,0.10146482288837433
Громкость и вистота звука спасибо за наушники,5,2025-08-15,positive,0.8391157984733582,0.005424997303634882
,2,2025-08-15,neutral,0.01538639236241579,0.25866207480430603
"хорошие наушники, звук отличный, есть техподдержка куда можно обратиться",5,2025-08-15,positive,0.9964170455932617,0.0019640401005744934
"хороший звук, держат заряд. нет провода для зарядки",5,2025-08-15,positive,0.9947201013565063,0.0016426168149337173
"Пользуюсь просто на радость,ни каких неисправностей нет.
Работают на отлично🥰
Действительно хорошие и качественные наушники.",5,2025-08-15,positive,0.9971470236778259,0.001481479499489069
"Классные😊, дочка в восторге 🎧
Чехол в подарок 🥰",5,2025-08-15,positive,0.9965360164642334,0.0018980264430865645
,2,2025-08-15,neutral,0.01538639236241579,0.25866207480430603
,1,2025-08-14,neutral,0.01538639236241579,0.25866207480430603
звук как в подделке за 300 рублей. Упаковка. Качаство звука просто кал,1,2025-08-14,negative,0.0025227973237633705,0.8480442762374878
"Хорошо держут зарядку
Качественный чехол",5,2025-08-14,positive,0.9924989342689514,0.0010778174037113786
все отлично,5,2025-08-14,positive,0.9959200620651245,0.0020817129407078028
"Все понравилось, звук хороший",5,2025-08-14,positive,0.9968010187149048,0.0011847722344100475
"благодарю🙏🏻. шикарные наушники, пользуюсь уже неделю, звук прекрасен, всем советую 😳",5,2025-08-14,positive,0.9968787431716919,0.0018227319233119488
"точное воспроизведение частот по всему слышимому спектру, от глубоких басов до высоких частоТ",5,2025-08-14,positive,0.9181884527206421,0.008192618377506733
"все есть, подключаются отлично!",5,2025-08-14,positive,0.9968926906585693,0.0015018460107967257
внешний вид. скрипят и тихие,1,2025-08-14,neutral,0.2549521028995514,0.019563408568501472
"Проблема решилась, спасибо огромное ща помощь и отличный товар❤️",5,2025-08-14,positive,0.9676035642623901,0.007840474136173725
Советую всем,5,2025-08-14,positive,0.8850219249725342,0.014400712214410305
Хороший звук. Ю,5,2025-08-14,positive,0.9948549270629883,0.0012215079041197896
"Хорошие, рекомендую",5,2025-08-14,positive,0.9957634210586548,0.002025842433795333
Лайтинг шнур не рабочий,5,2025-08-14,negative,0.0021308867726475,0.9284964799880981
"почему я должен настраивать эквалайзер, что бы у меня просто не было хрипа в наушниках?). вне помещения работет только один наушник, при подключении второго первый просто перестает производить звуки
если разрядился кейс, то наушники не включаются, даже если они заряжены.
еле рабочий сенсор на кейсе
из за чехла в комплекте не видно диод, который показывет состояние зарядки",1,2025-08-14,negative,0.00593784311786294,0.5801466107368469
Наушники очень хорошие. ++++,5,2025-08-14,positive,0.9970358610153198,0.0012543224729597569
"Наушники хорошо держат зарядку, и не отключаются если отойти от телефона на пару метров",5,2025-08-14,positive,0.9708649516105652,0.0013991937739774585
Понравились очень,5,2025-08-14,positive,0.9902427792549133,0.002013813704252243
Наушники хорошие. Понравились,5,2025-08-14,positive,0.9964516162872314,0.0011364779202267528
,1,2025-08-14,neutral,0.01538639236241579,0.25866207480430603
Нет шнура для зарядки,3,2025-08-14,neutral,0.026651011779904366,0.1678401529788971
