text,rating,date
"верните пожалуйста деньги
я хочу сделать возврат. звук не такой четкий и нет басов",1,2025-08-16
"рекомендую, хороший товар за свою цену",5,2025-08-16
Спасибо за хорошую работу поддержки,5,2025-08-16
"Отличные наушники, переключение, пауза, когда звонят, сири спрашивает ответить ли на звонок. Очень понравились",5,2025-08-16
Наушники как наушники. Не заряжаются(,1,2025-08-16
"Хорошие наушники, звук отличный. Упаковано хорошо",5,2025-08-16
Звук хороший,5,2025-08-16
"Недавно купила наушники и очень довольна! Звук просто потрясающий — чистые высокие частоты, насыщенные басы и отличная детализация. По сравнению с предыдущими поколениями, разница ощутима: звук стал более объёмным. Наушники идеально сидят в ушах, не выпадают даже при активном движении.",5,2025-08-16
"Ужасные, лучше не брать",1,2025-08-16
"Все работает четко, нет никаких проблем",5,2025-08-15
"Забыла написать ранее еще об одном плюсе наушников - шумоподавление. При работе наушников люди не слышат мои песни , это очень радует! Спасибо",5,2025-08-15
"Не берите. Ужасные ,сами отключаются и звук 🤦‍♀️",1,2025-08-15
Хорошие наушники!,5,2025-08-15
"Очень хороший качествый тавар , советую продавца , полный комопект , осталься довел 🔥🔥🔥🔥",5,2025-08-15
очень хорошие,5,2025-08-15
"Работают супер, довольна покупкой",5,2025-08-15
"Итог:
Я в полном восторге! Наушники — супер, а подарок в виде чехла стал приятным и полезным дополнением. Теперь мои
AirPods выглядят ещё круче и надёжно защищены.. Наушники:
Звук просто шикарный - чистый, объёмный, с глубокими басами. Очень понравилось активное шумоподавление и режим прозрачности: могу либо полностью уйти в музыку, либо слышать всё вокруг. Подключаются к телефону моментально, управление удобное и понятное. Сидят в ушах идеально, можно носить часами без дискомфорта.
Чехол (подарок):
Очень приятный бонус! Матовый, приятный на ощупь, стильно смотрится.
Плотно сидит на кейсе, не мешает открывать крышку и заряжать наушники.
Хорошо защищает от царапин и падений, а чёрный цвет универсален и не маркий.
Да, силикон немного притягивает пыль, но это мелочь.. Все хорошо",5,2025-08-15
все отлично,5,2025-08-15
Качественная звук,5,2025-08-15
"Не советую. Достаточно хороший звук. Очень больно носить + при включении двух, работает только один, поочередно",2,2025-08-15
Подключаются без проблем. Шумоподавления не работает за такую стоимость по моему не критично,5,2025-08-15
Громкость и вистота звука спасибо за наушники,5,2025-08-15
,2,2025-08-15
"хорошие наушники, звук отличный, есть техподдержка куда можно обратиться",5,2025-08-15
"хороший звук, держат заряд. нет провода для зарядки",5,2025-08-15
"Пользуюсь просто на радость,ни каких неисправностей нет.
Работают на отлично🥰
Действительно хорошие и качественные наушники.",5,2025-08-15
"Классные😊, дочка в восторге 🎧
Чехол в подарок 🥰",5,2025-08-15
,2,2025-08-15
,1,2025-08-14
звук как в подделке за 300 рублей. Упаковка. Качаство звука просто кал,1,2025-08-14
"Хорошо держут зарядку
Качественный чехол",5,2025-08-14
все отлично,5,2025-08-14
"Все понравилось, звук хороший",5,2025-08-14
"благодарю🙏🏻. шикарные наушники, пользуюсь уже неделю, звук прекрасен, всем советую 😳",5,2025-08-14
"точное воспроизведение частот по всему слышимому спектру, от глубоких басов до высоких частоТ",5,2025-08-14
"все есть, подключаются отлично!",5,2025-08-14
внешний вид. скрипят и тихие,1,2025-08-14
"Проблема решилась, спасибо огромное ща помощь и отличный товар❤️",5,2025-08-14
Советую всем,5,2025-08-14
Хороший звук. Ю,5,2025-08-14
"Хорошие, рекомендую",5,2025-08-14
Лайтинг шнур не рабочий,5,2025-08-14
"почему я должен настраивать эквалайзер, что бы у меня просто не было хрипа в наушниках?). вне помещения работет только один наушник, при подключении второго первый просто перестает производить звуки
если разрядился кейс, то наушники не включаются, даже если они заряжены.
еле рабочий сенсор на кейсе
из за чехла в комплекте не видно диод, который показывет состояние зарядки",1,2025-08-14
Наушники очень хорошие. ++++,5,2025-08-14
"Наушники хорошо держат зарядку, и не отключаются если отойти от телефона на пару метров",5,2025-08-14
Понравились очень,5,2025-08-14
Наушники хорошие. Понравились,5,2025-08-14
,1,2025-08-14
Нет шнура для зарядки,3,2025-08-14
"Наушники хорошие,звук нормальный,но чехол пришёл рваный.",4,2025-08-14
Очень хорошие наушники дочке понравилось ￼. Что есть чехол внутри ￼. Всё нормально ￼￼,5,2025-08-14
"Наушники без брака, звук отличный! Всё хорошо упаковано, в подарок положили чехол! 
Есть инструкция! 
Просты в обращении, теперь еду за рулём и кайфую! 
Рекомендую продавца!",5,2025-08-14
"хороший,удобные наушники,советую",5,2025-08-13
"Не советую. Звук хороший,чехол нормальный(он черный и из за этого не видно заряд кейса) ,и шнур есть.. Когда поправлю, начинается звук «пим». Я даже на кнопку не нажимаю, и из-за этого звука нет, а потом появляется. Я пропускаю моменты в видео,  ***   *** Не советую брать, когда будете поправлять — они сразу вырубают видео. Я даже на кнопку не нажимал, а «пим» и «пим» всё равно. Также непонятно, где кнопка. Обычно при нажатии звук есть, а тут его нет.Также некоторые отзывы написаны за деньги.Также кейс если он не работает то наушник тоже.Так не должно быть у других наушников таких же моих старых. Если кейс разряжен то наушники работает,а тут нет почему.За 100 рублей говорят, что нужно прислать видео и два фото. Афигенно просто.",1,2025-08-13
Зарядка тип C. За чехол отдельное спасибо!. Чистый звук. Компактные. Хорошая копия. Пока все хорошо,5,2025-08-13
"Когда разговариваешь по телефону, нужно наушники выключать. По телефону нельзя общаться. И расстояние не держит от слова совсем. А так да, телефон сразу их нашел, качество звука приличное.",3,2025-08-13
Всё по прежнему впорядке,5,2025-08-13
Очень быстрая доставка,5,2025-08-13
"Заказала наушники в подарок подруге 🎁♥️. Наушники пришли без повреждений хорошо упакованы, в подарок положили ещё чехол 🥰👍🏻. С виду не обнаружено",5,2025-08-13
"переживала, что будут неисправны, но они идеальны! заряд держат хорошо, звук прекрасный, чехол тоже очень порадовал. рекомендую к покупке!. наушники потрясающие",5,2025-08-13
Отличное качество,5,2025-08-13
,1,2025-08-13
Посоветую другу. Хорошие наушники. Нет недостатков,5,2025-08-13
Помогли разобраться запуском наушников!,5,2025-08-13
,1,2025-08-13
"Хорошие, рекомендую. Качественные",5,2025-08-13
Все хорошо,5,2025-08-13
"Разница между оригиналом есть, эти потише будут и звук чуть чуть отличается. Звук, долго зарядку держит. Неудобно и как то неприятно кейс открывается",5,2025-08-13
"пользовалась сегодня почти весь день как забрала, зарядку держат отлично! разрядились часа через 4-5, но быстро зарядились вновь)
несколько режимов шумоподавления, как и у оригинала, очень хорошо отгораживают от внешних звуков!
рекомендую✨",5,2025-08-13
"Очень быстро и качественно обработан вопрос о браке, спасибо",5,2025-08-13
,1,2025-08-12
Отличное качество не сиотря на цену. Звук👍,5,2025-08-12
Отлично. Качество на высшем уровне👍,5,2025-08-12
"К покупке рекомендую!👍👍👍. Всё хорошо упаковано!👍 Качественный звук, прекрасно держат заряд, полная комплектация, быстрая и качественная доставка.. Минусов просто нет!",5,2025-08-12
расплавился наушник в кейсе😀,2,2025-08-12
Стоят своих денег. Все четко,5,2025-08-12
